Date,AAPL,MSFT,TSLA
2022-10-03,139.96949768066406,233.9239044189453,242.39999389648438
2022-10-04,143.5559539794922,241.8334197998047,249.44000244140625
2022-10-05,143.85073852539062,242.1443328857422,240.80999755859375
2022-10-06,142.89761352539062,239.80258178710938,238.1300048828125
2022-10-07,137.65061950683594,227.60792541503906,223.07000732421875
2022-10-10,137.97486877441406,222.75921630859375,222.9600067138672
2022-10-11,136.55996704101562,219.02796936035156,216.5
2022-10-12,135.93109130859375,219.35830688476562,217.24000549316406
2022-10-13,140.5001220703125,227.60792541503906,221.72000122070312
2022-10-14,135.97039794921875,222.08871459960938,204.99000549316406
2022-10-17,139.9302215576172,230.80477905273438,219.35000610351562
2022-10-18,141.2468719482422,231.747314453125,220.19000244140625
2022-10-19,141.35496520996094,229.78451538085938,222.0399932861328
2022-10-20,140.8931427001953,229.46388244628906,207.27999877929688
2022-10-21,144.7056121826172,235.26483154296875,214.44000244140625
2022-10-24,146.84764099121094,240.2495880126953,211.25
2022-10-25,149.68728637695312,243.56304931640625,222.4199981689453
2022-10-26,146.7493896484375,224.77061462402344,224.63999938964844
2022-10-27,142.2786407470703,220.32998657226562,225.08999633789062
2022-10-28,153.02810668945312,229.19180297851562,228.52000427246094
2022-10-31,150.6698760986328,225.5576629638672,227.5399932861328
2022-11-01,148.02671813964844,221.7097625732422,227.82000732421875
2022-11-02,142.5045928955078,213.86825561523438,214.97999572753906
2022-11-03,136.46170043945312,208.1839141845703,215.30999755859375
2022-11-04,136.1959686279297,215.12173461914062,207.47000122070312
2022-11-07,136.7274169921875,221.41827392578125,197.0800018310547
2022-11-08,137.2982635498047,222.3899688720703,191.3000030517578
2022-11-09,132.7413787841797,218.15341186523438,177.58999633789062
2022-11-10,144.5519256591797,236.10049438476562,190.72000122070312
2022-11-11,147.33729553222656,240.11354064941406,195.97000122070312
2022-11-14,145.939697265625,234.7109832763672,190.9499969482422
2022-11-15,147.67190551757812,235.11907958984375,194.4199981689453
2022-11-16,146.44166564941406,235.5478057861328,186.9199981689453
2022-11-17,148.34120178222656,235.49908447265625,183.1699981689453
2022-11-18,148.9022216796875,235.05087280273438,180.19000244140625
2022-11-21,145.67398071289062,235.859619140625,167.8699951171875
2022-11-22,147.80970764160156,238.76339721679688,169.91000366210938
2022-11-23,148.6856689453125,241.24818420410156,183.1999969482422
2022-11-25,145.7723846435547,241.16050720214844,182.86000061035156
2022-11-28,141.9438018798828,235.5770263671875,182.9199981689453
2022-11-29,138.94192504882812,234.18359375,180.8300018310547
2022-11-30,145.69363403320312,248.61485290527344,194.6999969482422
2022-12-01,145.96920776367188,248.17636108398438,194.6999969482422
2022-12-02,145.47708129882812,248.4979248046875,194.86000061035156
2022-12-05,144.31573486328125,243.80120849609375,182.4499969482422
2022-12-06,140.65444946289062,238.8511199951172,179.82000732421875
2022-12-07,138.71554565429688,238.12030029296875,174.0399932861328
2022-12-08,140.3985595703125,241.07278442382812,173.44000244140625
2022-12-09,139.91629028320312,239.1434326171875,179.0500030517578
2022-12-12,142.20953369140625,246.05210876464844,167.82000732421875
2022-12-13,143.17405700683594,250.34934997558594,160.9499969482422
2022-12-14,140.94969177246094,250.64166259765625,156.8000030517578
2022-12-15,134.34564208984375,242.64163208007812,157.6699981689453
2022-12-16,132.38702392578125,238.43212890625,150.22999572753906
2022-12-19,130.28077697753906,234.30052185058594,149.8699951171875
2022-12-20,130.2119140625,235.6160125732422,137.8000030517578
2022-12-21,133.31219482421875,238.17874145507812,137.57000732421875
2022-12-22,130.14300537109375,232.0983428955078,125.3499984741211
2022-12-23,129.77886962890625,232.62454223632812,123.1500015258789
2022-12-27,127.9777603149414,230.89984130859375,109.0999984741211
2022-12-28,124.05070495605469,228.53195190429688,112.70999908447266
2022-12-29,127.56437683105469,234.84622192382812,121.81999969482422
2022-12-30,127.87930297851562,233.68666076660156,123.18000030517578
2023-01-03,123.09603881835938,233.4528045654297,108.0999984741211
2023-01-04,124.36566162109375,223.24082946777344,113.63999938964844
2023-01-05,123.04682159423828,216.62449645996094,110.33999633789062
2023-01-06,127.57422637939453,219.17747497558594,113.05999755859375
2023-01-09,128.09580993652344,221.31146240234375,119.7699966430664
2023-01-10,128.66671752929688,222.99720764160156,118.8499984741211
2023-01-11,131.38314819335938,229.740234375,123.22000122070312
2023-01-12,131.3043975830078,232.41017150878906,123.55999755859375
2023-01-13,132.63307189941406,233.1117401123047,122.4000015258789
2023-01-17,133.7944793701172,234.20310974121094,131.49000549316406
2023-01-18,133.07595825195312,229.7792205810547,128.77999877929688
2023-01-19,133.13504028320312,225.99844360351562,127.16999816894531
2023-01-20,135.69400024414062,234.07644653320312,133.4199981689453
2023-01-23,138.8828582763672,236.37608337402344,143.75
2023-01-24,140.2804412841797,235.8498992919922,143.88999938964844
2023-01-25,139.62103271484375,234.45645141601562,144.42999267578125
2023-01-26,141.68788146972656,241.657470703125,160.27000427246094
2023-01-27,143.6267547607422,241.81336975097656,177.89999389648438
2023-01-30,140.74302673339844,236.50274658203125,166.66000366210938
2023-01-31,142.0126953125,241.47232055664062,173.22000122070312
2023-02-01,143.13467407226562,246.28599548339844,181.41000366210938
2023-02-02,148.43959045410156,257.83294677734375,188.27000427246094
2023-02-03,152.06155395507812,251.74276733398438,189.97999572753906
2023-02-06,149.33522033691406,250.2031707763672,194.75999450683594
2023-02-07,152.2091522216797,260.71722412109375,196.80999755859375
2023-02-08,149.52224731445312,259.908447265625,201.2899932861328
2023-02-09,148.48880004882812,256.8779602050781,207.32000732421875
2023-02-10,148.85354614257812,256.371337890625,196.88999938964844
2023-02-13,151.6529998779297,264.38104248046875,194.63999938964844
2023-02-14,151.0122833251953,265.2093200683594,209.25
2023-02-15,153.11184692382812,263.0895080566406,214.24000549316406
2023-02-16,151.5149383544922,256.08538818359375,202.0399932861328
2023-02-17,150.37155151367188,252.0900421142578,208.30999755859375
2023-02-21,146.35964965820312,246.82469177246094,197.3699951171875
2023-02-22,146.78355407714844,245.69155883789062,200.86000061035156
2023-02-23,147.26651000976562,248.8761444091797,202.07000732421875
2023-02-24,144.6149444580078,243.4545135498047,196.8800048828125
2023-02-27,145.80763244628906,244.3727569580078,207.6300048828125
2023-02-28,145.30496215820312,243.6498565673828,205.7100067138672
2023-03-01,143.23492431640625,240.57281494140625,202.77000427246094
2023-03-02,143.82638549804688,245.30079650878906,190.89999389648438
2023-03-03,148.8732452392578,249.3841094970703,197.7899932861328
2023-03-06,151.63327026367188,250.9275665283203,193.80999755859375
2023-03-07,149.4351043701172,248.2704620361328,187.7100067138672
2023-03-08,150.68695068359375,247.8308868408203,182.0
2023-03-09,148.43954467773438,246.48281860351562,172.9199981689453
2023-03-10,146.37939453125,242.83909606933594,173.44000244140625
2023-03-13,148.32122802734375,248.04576110839844,174.47999572753906
2023-03-14,150.41094970703125,254.75686645507812,183.25999450683594
2023-03-15,150.80528259277344,259.2992858886719,180.4499969482422
2023-03-16,153.6244354248047,269.8104248046875,184.1300048828125
2023-03-17,152.7865753173828,272.9656066894531,180.1300048828125
2023-03-20,155.15228271484375,265.9322204589844,183.25
2023-03-21,157.00543212890625,267.4463195800781,197.5800018310547
2023-03-22,155.576171875,265.99078369140625,191.14999389648438
2023-03-23,156.66041564941406,271.2365417480469,192.22000122070312
2023-03-24,157.96157836914062,274.07928466796875,190.41000366210938
2023-03-27,156.01971435546875,269.9861755371094,191.80999755859375
2023-03-28,155.39871215820312,268.8628234863281,189.19000244140625
2023-03-29,158.4741668701172,274.0206298828125,193.8800048828125
2023-03-30,160.04147338867188,277.47869873046875,195.27999877929688
2023-03-31,162.54518127441406,281.63043212890625,207.4600067138672
2023-04-03,163.79705810546875,280.5851745605469,194.77000427246094
2023-04-04,163.26478576660156,280.5363464355469,192.5800018310547
2023-04-05,161.4214630126953,277.7620544433594,185.52000427246094
2023-04-06,162.30859375,284.8541259765625,185.05999755859375
2023-04-10,159.71620178222656,282.6952209472656,184.50999450683594
2023-04-11,158.50375366210938,276.2869567871094,186.7899932861328
2023-04-12,157.81373596191406,276.93170166015625,180.5399932861328
2023-04-13,163.19577026367188,283.13482666015625,185.89999389648438
2023-04-14,162.85076904296875,279.52044677734375,185.0
2023-04-17,162.87045288085938,282.11883544921875,187.0399932861328
2023-04-18,164.09275817871094,281.6988830566406,184.30999755859375
2023-04-19,165.2362060546875,281.7769775390625,180.58999633789062
2023-04-20,164.27020263671875,279.49114990234375,162.99000549316406
2023-04-21,162.66348266601562,279.14923095703125,165.0800018310547
2023-04-24,162.9690399169922,275.25152587890625,162.5500030517578
2023-04-25,161.43130493164062,269.04840087890625,160.6699981689453
2023-04-26,161.4214630126953,288.5368347167969,153.75
2023-04-27,166.00509643554688,297.77801513671875,160.19000244140625
2023-04-28,167.25692749023438,300.15179443359375,164.30999755859375
2023-05-01,167.168212890625,298.4911804199219,161.8300018310547
2023-05-02,166.1331787109375,298.3446044921875,160.30999755859375
2023-05-03,165.0587921142578,297.3579406738281,160.61000061035156
2023-05-04,163.42247009277344,298.3446044921875,161.1999969482422
2023-05-05,171.0913848876953,303.46337890625,170.05999755859375
2023-05-08,171.0223846435547,301.5096740722656,171.7899932861328
2023-05-09,169.31707763671875,299.89776611328125,169.14999389648438
2023-05-10,171.08152770996094,305.0849914550781,168.5399932861328
2023-05-11,171.26882934570312,302.93585205078125,172.0800018310547
2023-05-12,170.3409423828125,301.8222351074219,167.97999572753906
2023-05-15,169.84742736816406,302.3009338378906,166.35000610351562
2023-05-16,169.84742736816406,304.5281677246094,166.52000427246094
2023-05-17,170.45941162109375,307.40643310546875,173.86000061035156
2023-05-18,172.7888946533203,311.8315124511719,176.88999938964844
2023-05-19,172.89749145507812,311.6553039550781,180.13999938964844
2023-05-22,171.9498748779297,314.4356689453125,188.8699951171875
2023-05-23,169.34400939941406,308.6399841308594,185.77000427246094
2023-05-24,169.62037658691406,307.25958251953125,182.89999389648438
2023-05-25,170.7555389404297,319.0761413574219,184.47000122070312
2023-05-26,173.1639862060547,325.8997802734375,193.1699981689453
2023-05-30,175.00987243652344,324.25506591796875,201.16000366210938
2023-05-31,174.96051025390625,321.4942626953125,203.92999267578125
2023-06-01,177.7638397216797,325.5962219238281,207.52000427246094
2023-06-02,178.6127166748047,328.3570556640625,213.97000122070312
2023-06-05,177.26039123535156,328.8857727050781,217.61000061035156
2023-06-06,176.8951873779297,326.6731872558594,221.30999755859375
2023-06-07,175.5231170654297,316.5895080566406,224.57000732421875
2023-06-08,178.2376251220703,318.42999267578125,234.86000061035156
2023-06-09,178.6226043701172,319.9278869628906,244.39999389648438
2023-06-12,181.416015625,324.881591796875,249.8300018310547
2023-06-13,180.94219970703125,327.27044677734375,258.7099914550781
2023-06-14,181.57395935058594,330.25634765625,256.7900085449219
2023-06-15,183.60733032226562,340.7903747558594,255.89999389648438
2023-06-16,182.5314178466797,335.1415100097656,260.5400085449219
2023-06-20,182.62025451660156,330.951416015625,274.45001220703125
2023-06-21,181.58383178710938,326.55572509765625,259.4599914550781
2023-06-22,184.58456420898438,332.5765380859375,264.6099853515625
2023-06-23,184.2686767578125,327.9850158691406,256.6000061035156
2023-06-26,182.87692260742188,321.6998596191406,241.0500030517578
2023-06-27,185.63087463378906,327.5445251464844,250.2100067138672
2023-06-28,186.8054656982422,328.79766845703125,256.239990234375
2023-06-29,187.14111328125,328.0143737792969,257.5
2023-06-30,191.4645233154297,333.38909912109375,261.7699890136719
2023-07-03,189.97402954101562,330.8927307128906,279.82000732421875
2023-07-05,188.85862731933594,331.04931640625,282.4800109863281
2023-07-06,189.33242797851562,334.10382080078125,276.5400085449219
2023-07-07,188.217041015625,330.13885498046875,274.42999267578125
2023-07-10,186.17376708984375,324.8620300292969,269.6099853515625
2023-07-11,185.6505889892578,325.48858642578125,269.7900085449219
2023-07-12,187.31878662109375,330.1192932128906,271.989990234375
2023-07-13,188.07882690429688,335.464599609375,277.8999938964844
2023-07-14,188.22689819335938,337.9904479980469,281.3800048828125
2023-07-17,191.48428344726562,338.47015380859375,290.3800048828125
2023-07-18,191.2276153564453,351.9411926269531,293.3399963378906
2023-07-19,192.5799560546875,347.623779296875,291.260009765625
